open_time,open,high,low,close,volume
2026-04-13 21:45:00,73265.69,73290.71,73179.7,73179.71,70.57781
2026-04-13 22:00:00,73179.71,73900.0,73172.01,73753.26,548.45103
2026-04-13 22:15:00,73753.26,74465.0,73753.26,74134.65,1542.91185
2026-04-13 22:30:00,74134.65,74350.96,74052.72,74259.99,415.98314
2026-04-13 22:45:00,74260.0,74746.61,74152.47,74627.04,791.26154
2026-04-13 23:00:00,74627.04,74900.0,74448.54,74653.32,456.74525
2026-04-13 23:15:00,74653.32,74805.6,74531.75,74730.84,590.62361
2026-04-13 23:30:00,74730.84,74877.48,74547.51,74562.65,328.97798
2026-04-13 23:45:00,74562.65,74598.23,74405.64,74417.99,289.79521
2026-04-14 00:00:00,74418.0,74517.31,74231.11,74338.01,353.56066
2026-04-14 00:15:00,74338.01,74463.54,74218.55,74259.61,344.82137
2026-04-14 00:30:00,74259.61,74446.35,74165.22,74422.87,240.36886
2026-04-14 00:45:00,74422.87,74425.44,74102.39,74163.82,337.70769
2026-04-14 01:00:00,74163.82,74300.0,73954.86,74299.99,432.1032
2026-04-14 01:15:00,74299.99,74400.0,74219.69,74297.5,478.27547
2026-04-14 01:30:00,74297.5,74329.99,74233.35,74322.27,75.10559
2026-04-14 01:45:00,74322.27,74431.0,74322.27,74386.02,79.67884
2026-04-14 02:00:00,74386.03,74490.94,74359.99,74487.41,214.75767
2026-04-14 02:15:00,74487.4,74579.32,74395.53,74395.53,153.934
2026-04-14 02:30:00,74395.53,74458.81,74283.2,74429.98,79.97952
2026-04-14 02:45:00,74429.99,74439.07,74311.05,74330.98,149.37998
2026-04-14 03:00:00,74330.99,74412.0,74293.19,74342.81,243.38557
2026-04-14 03:15:00,74343.1,74364.57,74252.35,74292.0,202.29718
2026-04-14 03:30:00,74291.99,74496.9,74278.85,74472.9,124.56009
2026-04-14 03:45:00,74472.89,74485.99,74397.97,74444.43,76.12662
2026-04-14 04:00:00,74444.44,74500.0,74384.09,74466.56,76.05749
2026-04-14 04:15:00,74466.56,74498.93,74432.68,74494.0,184.77485
2026-04-14 04:30:00,74493.99,74504.52,74358.62,74378.93,167.50394
2026-04-14 04:45:00,74378.94,74436.79,74351.55,74387.85,55.96935
2026-04-14 05:00:00,74387.85,74387.86,74300.01,74325.0,139.54383
2026-04-14 05:15:00,74324.99,74434.41,74306.04,74339.78,182.27706
2026-04-14 05:30:00,74339.78,74359.63,74271.1,74290.74,214.15665
2026-04-14 05:45:00,74290.73,74298.24,74150.6,74210.11,302.43207
2026-04-14 06:00:00,74210.12,74350.0,74210.12,74328.27,130.75149
2026-04-14 06:15:00,74328.28,74446.45,74313.39,74386.89,81.64069
2026-04-14 06:30:00,74386.88,74449.1,74348.66,74374.99,171.47441
2026-04-14 06:45:00,74375.0,74550.0,74374.99,74522.73,230.70493
2026-04-14 07:00:00,74522.72,74924.64,74430.92,74775.02,561.24394
2026-04-14 07:15:00,74775.03,74796.49,74615.0,74669.73,143.06414
2026-04-14 07:30:00,74669.73,74685.25,74491.52,74493.32,441.78598
2026-04-14 07:45:00,74493.32,74555.9,74461.55,74546.0,310.45953
2026-04-14 08:00:00,74545.99,74600.01,74460.64,74541.44,126.61552
2026-04-14 08:15:00,74541.44,74639.54,74504.31,74639.53,148.01797
2026-04-14 08:30:00,74639.54,74910.0,74626.0,74653.38,347.56408
2026-04-14 08:45:00,74653.39,74843.28,74595.79,74750.0,316.10139
2026-04-14 09:00:00,74750.0,74797.94,74654.03,74796.0,179.97549
2026-04-14 09:15:00,74796.0,74830.93,74629.26,74670.46,156.0312
2026-04-14 09:30:00,74670.46,74694.17,74500.26,74510.87,145.67854
2026-04-14 09:45:00,74510.88,74542.0,74435.12,74500.0,84.17947
2026-04-14 10:00:00,74500.0,74555.01,74452.22,74548.04,60.81976
2026-04-14 10:15:00,74548.05,74592.53,74500.0,74558.33,78.78142
2026-04-14 10:30:00,74558.32,74617.92,74352.46,74358.88,216.97059
2026-04-14 10:45:00,74358.88,74435.74,74333.46,74350.01,183.61135
2026-04-14 11:00:00,74350.01,74431.74,74322.54,74393.5,200.02202
2026-04-14 11:15:00,74393.49,74450.63,74356.99,74356.99,93.66197
2026-04-14 11:30:00,74357.0,74396.55,74321.28,74324.36,174.32868
2026-04-14 11:45:00,74324.36,74450.63,74307.35,74376.52,185.34552
2026-04-14 12:00:00,74376.52,74430.79,74292.0,74306.93,117.42415
2026-04-14 12:15:00,74306.93,74419.32,74277.19,74293.55,140.38405
2026-04-14 12:30:00,74293.54,74406.63,74292.7,74307.87,101.32373
2026-04-14 12:45:00,74307.87,74485.06,74307.87,74452.0,154.38625
2026-04-14 13:00:00,74452.0,74613.13,74407.74,74576.51,160.85028
2026-04-14 13:15:00,74576.52,74732.94,74500.0,74500.01,184.51915
2026-04-14 13:30:00,74500.0,75241.3,74500.0,75188.5,1437.17679
2026-04-14 13:45:00,75188.5,75532.94,75068.0,75525.94,1464.24117
2026-04-14 14:00:00,75525.94,75627.2,75329.55,75573.99,1302.3397
2026-04-14 14:15:00,75573.99,75861.32,75500.0,75855.08,918.4387
2026-04-14 14:30:00,75855.08,76038.0,75231.02,75376.44,1528.20974
2026-04-14 14:45:00,75376.45,75408.33,75013.61,75013.62,608.57292
2026-04-14 15:00:00,75013.61,75122.34,74564.34,74756.43,642.84099
2026-04-14 15:15:00,74756.43,74940.95,74684.0,74811.86,364.81674
2026-04-14 15:30:00,74811.86,75310.81,74800.0,75284.0,448.18378
2026-04-14 15:45:00,75284.0,75441.99,75167.82,75317.07,205.76261
2026-04-14 16:00:00,75317.06,75688.0,75310.15,75489.99,460.97392
2026-04-14 16:15:00,75489.99,75496.0,75185.1,75253.23,157.72725
